Query #,Compute Optimized 1 x S,Compute Optimized 1 x M,Storage Optimized 1 x S,Storage Optimized 1 x M
1,35.792,15.749,21.81442165,11.44499493
1,17.298,7.127,14.32297421,7.124786615
1,15.458,7.093,14.58753657,6.97692132
1,14.581,7.104,14.06481695,7.027586699
1,14.863,6.979,14.08816004,7.035969019
2,6.332,3.449,5.85112381,3.855554104
2,3.783,1.843,4.020971775,2.032007456
2,3.822,1.708,4.04124999,2.092675686
2,3.704,1.667,4.075657606,2.063459873
2,3.858,1.674,4.054081202,2.03570962
3,46.792,29.052,17.16449356,9.267426968
3,42.980,24.156,2.249747276,1.157425642
3,42.424,23.918,2.138822079,1.180561781
3,42.043,24.213,2.161291838,1.195478439
3,42.878,22.676,2.25242424,1.147829771
4,11.261,6.146,10.88225508,5.278645515
4,7.302,3.158,8.048639059,3.106553555
4,7.559,3.090,7.888268709,3.125203609
4,7.651,3.170,8.018224478,3.102201462
4,7.728,3.032,7.810249805,3.123436928
5,17.358,9.934,14.31878281,7.146769285
5,13.008,0.492,10.32516265,5.075868607
5,11.504,0.631,10.23393869,5.071831703
5,9.980,0.558,10.28930831,5.02961874
5,9.783,0.629,10.19410467,5.024500132
6,5.996,2.829,4.144504786,2.178447008
6,6.135,2.170,4.125231743,2.107442141
6,4.990,2.137,4.160746098,2.15195632
6,4.513,2.158,4.135674715,2.119520903
6,4.185,2.064,4.212385654,2.121587992
7,73.746,39.944,41.74938941,20.80598426
7,69.093,39.964,43.53014469,19.75218153
7,68.021,39.711,41.14703202,19.79811168
7,66.683,39.768,43.35658884,20.23786902
7,66.941,39.173,39.4005549,20.04744363
8,14.592,7.246,11.42207003,5.590475798
8,13.803,3.490,7.010958195,3.612611771
8,9.503,3.560,7.098543882,3.497984648
8,10.786,3.444,7.189363003,3.538081408
8,9.277,3.458,7.208458424,3.484289885
9,30.821,14.126,27.8474443,13.76558542
9,24.717,10.161,21.82297397,10.44151258
9,25.084,10.034,21.93064451,10.56057906
9,24.812,10.270,21.75586295,10.65255189
9,24.477,10.225,21.84337234,10.4244523
10,26.357,7.090,12.70956516,8.2716465
10,2.109,1.415,2.330909014,1.190157413
10,2.135,1.352,2.266349554,1.174880505
10,2.087,1.169,2.260568142,1.204312086
10,2.088,1.208,2.348484278,1.244961023
11,1.935,1.291,1.77926445,1.480229139
11,1.292,0.650,1.390701771,0.6646213531
11,1.209,0.656,1.321251869,0.7385108471
11,1.369,0.657,1.263662815,0.6696972847
11,1.234,0.642,1.373125553,0.6728448868
12,20.269,8.243,13.26883841,6.923873186
12,15.479,3.962,7.918426275,3.947695494
12,14.705,3.845,7.955248594,3.875500917
12,14.959,3.879,7.840085506,3.913756371
12,15.219,3.837,7.814087152,3.808019638
13,12.547,8.386,11.05346704,6.077195406
13,10.607,5.491,9.3929708,4.872038364
13,9.563,5.045,9.408690691,4.865326405
13,9.105,4.974,9.8351264,4.852725506
13,9.193,5.041,9.422499418,4.923275471
14,15.323,4.985,5.897468805,3.151319981
14,0.550,0.296,0.5203180313,0.27450037
14,0.513,0.298,0.5633597374,0.31463027
14,0.512,0.304,0.51953578,0.3152935505
14,0.580,0.317,0.6052129269,0.2628290653
15,26.625,5.603,9.298043251,4.648458958
15,7.935,2.452,4.674476862,2.28694129
15,5.382,2.340,4.669236183,2.271594763
15,5.737,2.371,4.610938311,2.283588648
15,5.607,2.432,4.674087524,2.261848211
16,3.314,2.398,3.128672361,1.892869711
16,2.338,1.394,2.325335979,1.215823889
16,2.380,1.388,2.497950554,1.328007936
16,2.177,1.359,2.356176615,1.324177504
16,2.164,1.340,2.359302759,1.273389578
17,42.963,17.700,20.90092278,11.68531227
17,35.310,16.412,20.13484216,11.1086278
17,34.943,15.902,20.06972504,11.40089703
17,36.870,15.305,20.05367088,11.17129445
17,35.449,15.930,19.89876461,11.20934963
18,28.658,10.560,16.89044404,8.432296038
18,29.268,9.598,16.46359777,7.767462015
18,28.520,9.139,16.68826008,7.763451338
18,28.107,8.529,17.85516238,7.915105581
18,28.308,8.880,16.77478099,8.531316996
19,18.011,9.716,14.11022377,6.912273884
19,17.022,6.981,12.61299014,6.174550056
19,16.250,6.783,12.63197184,6.200001955
19,15.870,6.765,12.47130585,6.313212872
19,16.001,6.967,12.54311657,6.208884954
20,16.802,8.309,13.06820655,6.625395298
20,15.914,8.307,12.87596011,6.454937458
20,15.899,7.274,12.79483294,6.376609802
20,15.592,6.688,12.78597021,6.510084391
20,15.854,6.443,12.66981769,6.47873497
21,,31.696,58.22684407,115.1057796
21,,29.439,50.21990967,67.3903563
21,,29.239,50.34448504,28.17583704
21,,28.229,56.8014555,28.28261518
21,,28.539,50.66624665,28.09924221
22,2.811,1.224,2.146449327,1.17966342
22,2.063,0.864,1.803524494,0.8460938931
22,1.849,0.832,1.708762884,0.8616485596
22,1.524,0.844,1.857081175,0.8312530518
22,1.600,0.839,1.786015987,0.8865566254
